fish,trial,depth,spd,elav,curvcoef,swd.H,swd.20,swd.40,swd.60,swd.80,swd.T,frq.40,frq.60,frq.80,frq.T,frq.F,rom
Polyp2017-023,tr22,0.9,0.160736147,0.020668508125,0.33541841125,0.17671178599999998,0.117567592,0.15637107166666667,0.223214436,0.270312006,0.6241336184999999,2.1270728876666665,2.09056211,2.2041984735,2.0995235946666666,6.432712817,0.7292870185000002
Polyp2017-023,tr24,1.0,0.631069969,0.004667113,0.17198810242857146,0.10466272533333333,0.11193178085714285,0.11666805066666668,0.1170395275,0.19338235866666667,0.3909084193333333,3.456439394,3.5721575835,3.372596765,3.2827052196666666,8.483066495,0.2552967999388888
Polyp2017-023,tr25,1.0,0.54120177,0.005205471166666666,0.1689801190909091,0.06727039633333333,0.14121496225000002,0.13273943400000002,0.1436204314,0.200064608,0.4976479472,3.3534978562499997,3.29473233725,3.33390735975,3.08702891475,7.550012694846154,0.23315281883241756
Polyp2017-027,tr02,3.0,0.79978261,NA,0.26875574044444445,0.1565287552,0.164826506,0.1713999685,0.1749974105,0.25349728975,0.39844550525,2.9320987655,3.301466464,3.0858294575,2.9275382233333334,5.576814828142857,0.15351384091071424
Polyp2017-027,tr04,3.0,0.900112173,NA,0.26099757133333334,0.07211659022222222,0.098053169,0.11447296074999999,0.116377019,0.12562677833333333,0.20068253549999998,4.530310326,4.4693941465,4.443734493333333,4.35139573075,5.3047700928,0.11436318132500001
Polyp2017-027,tr07,2.0,0.671853184,NA,0.26613394366666665,0.10164493,0.108090506625,0.11002330099999999,0.1106893175,0.18400528233333333,0.3023001845,4.139299398,3.6836403035,3.298433776,3.248375812,7.0249939655,0.11509807849999998
Polyp2017-027,tr14,0.7,1.969260402,0.007866548333333334,0.435209874,0.20067816933333332,0.15033689266666667,0.16572143849999998,0.23058397933333333,0.34312369233333334,0.4840197156666667,9.763770181333333,10.042941493,9.891975309666666,9.818007665,10.229677155,0.4449286920499999
Polyp2017-027,tr15,0.0,0.351411275,0.014780505,0.9082917655555556,0.48210039175,0.36735447875,0.4715206846666667,0.273732119,0.437433002,0.9099998340000001,2.595263533,2.4982364243333333,2.7696626693333335,2.6452102600000003,2.6127448045,0.8552319181000001
Polyp2017-027,tr16,0.0,0.32852189,0.0161638765,0.7256408038333334,0.408868833,0.23597414566666666,0.30734638849999996,0.306184885,0.36301612699999997,0.768664361,2.1751306945,2.171308775,2.4418715454999997,2.435448785,2.1856155973333333,0.7000639910000002
Polyp2017-027,tr17,0.9,1.175111727,0.004905342,0.49353499866666667,0.1959259485,0.15819509999999998,0.19375349133333333,0.251690158,0.34914005550000005,0.537839116,5.655270655333333,5.676020407999999,5.8092948715,5.528846154,9.209956709,0.31868781933333334
Polyp2017-027,tr18,0.9,1.0343266,0.008432023375,0.482014376625,0.20701961725,0.1805985905,0.19984879966666666,0.2724191613333333,0.35005237075,0.5237224042499999,4.3693669716666665,4.421538032,4.4967340385,4.517827435,9.076795186875,0.2088314811805556
Polyp2017-027,tr20,2.0,1.153393684,NA,0.19488804114285715,0.091371899,0.11415429633333334,0.121078696,0.13409786699999998,0.16539722733333334,0.2903965795,4.716981132,4.6359890109999995,4.611126747,4.590633423,7.745055151333333,0.0527448452
Polyp2017-027,tr22,1.0,1.540911701,0.008159471791666668,0.2616261507142857,0.19931244933333334,0.17128459866666665,0.19271139850000002,0.251212156,0.331118119,0.48438701733333334,5.8423913044999995,5.705128204999999,5.910302717333333,5.771836564666667,4.4078262165,0.19211475290000002
